cba	Grievance Procedure	Gender Equality	Sexual Harrassment	Discrimination	Composite Equality
id	procedure	GE	SH	Discrim	total
ccnl-impiegati-amministrativi-agenzie-generali-di-generali-italia-s-p-a-2018-2020	1.0	1.89	5.0	1.0	2.35
collective-agreement-between-financial-business-and-services-employees-union-fbseu-of-ghana-federation-of-labour-gfl-and-intercom-programming-and-manufacturing-company-ipmc-limited	1.0	3.22	5.0	2.0	3.06
collective-agreement-between-adamus-resources-limited-nzema-operations-and-general-manufacturing-and-metal-workers-union-gmm-of-ghana-federation-of-labour-gfl-	1.0	2.78	5.0	2.0	2.93
collective-agreement-between-financial-business-and-services-employees-union-fbseu-of-ghana-federation-of-labour-gfl-and-cob-a-industries-limited	1.0	1.89	5.0	1.0	2.35
collective-agreement-between-satellite-trans-ltd-and-agrana-ghana-ltd-the-national-union-of-teamsters-and-general-workers-nuteg-of-ghana-federation-of-labour-gfl-	1.0	1.0	5.0	2.0	2.39
collective-agreement-between-polytex-industries-limited-and-the-industrial-and-commercial-workers-union-ghana-	1.0	2.33	1.0	1.0	1.27
collective-agreement-between-the-industrial-and-commercial-workers-union-i-c-u-of-ghana-and-the-crocodile-matchets-ghana-limited-	1.0	1.89	1.0	1.0	1.14
collective-agreement-between-golden-exotics-limited-general-agricultural-workers-union-of-ghana-trades-union-congress-gawu-of-tuc-	1.0	2.33	5.0	2.0	2.79
collective-agreement-between-hotel-investments-ghana-limited-and-the-union-of-industry-commerce-and-finance-workers	1.0	1.44	1.0	1.0	1.0
collective-agreement-between-agricare-limited-and-general-agricultural-workers-union-of-g-t-u-c	1.0	1.89	1.0	2.0	1.44
collective-agreement-between-qualiplast-limited-and-the-industrial-and-commercial-workers-union	1.0	1.89	1.0	1.0	1.14
collective-bargaining-agreement-between-neoplan-ghana-limited-and-the-industrial-and-commercial-workers-union-of-ghana	1.0	2.33	1.0	1.0	1.27
collective-bargaining-agreement-between-metro-mass-transit-limited-and-the-general-transport-petroleum-and-chemical-workers-union-of-ghana-tuc	1.0	2.33	1.0	1.0	1.27
collective-agreement-between-hpw-fresh-and-dry-ltd-and-union-of-education-agriculture-general-services-workers-u-n-e-a-g-e-s-of-g-f-l	1.0	1.89	1.0	1.0	1.14
collective-agreement-proposal-between-tag-investment-and-silver-platter-ltd-and-union-of-education-agriculture-general-services-workers-uneages-of-gfl	1.0	1.89	1.0	1.0	1.14
collective-bargaining-agreement-between-the-industrial-and-commercial-workers-union-icu---ghana-and-the-national-investment-bank-limited	1.0	1.0	1.0	2.0	1.17
collective-bargaining-agreement-between-new-times-corporation-and-industrial-and-commercial-workers-union	1.0	1.89	1.0	1.0	1.14
collective-agreement-between-japan-motors-trading-company-limited-silver-star-auto-ltd-modern-auto-services-yama-industries-oman-fofor-trading-company-limited-and-union-of-industry-commerce-finance-workers-pmsu-	1.8	2.33	5.0	2.0	3.03
collective-agreement-between-union-of-private-security-personnel-jpsp-and-g4s-ghana	1.8	2.33	5.0	1.0	2.73
collective-bargaining-agreement-between-ags-frasers-international-ghana-limited-and-maritime-and-dockworkers-union-mdu-of-the-tuc-of-ghana---2014	1.0	1.44	1.0	2.0	1.3
sample-collective-bargaining-agreement-created-by-wageindicator	1.8	1.44	5.0	3.0	3.07
collective-agreement-between-delmas-shipping-ghana-cma-cgm-group-limited-and-maritime-dockworkers-union-of-ghana-trades-union-congress-gtuc---2014	1.0	1.44	1.0	2.0	1.3
collective-agreement-between-dry-food-processing-ltd-and-the-national-union-of-teamsters-and-general-workers-nuteg-of-ghana-federation-of-labour-gfl---2014	1.0	1.44	5.0	2.0	2.52
convention-collective-des-mines-du-togo	1.0	1.44	1.0	3.0	1.61
convention-collective-des-entreprises-du-transport-routier-du-togo	1.0	1.0	1.0	2.0	1.17
convention-collective-de-la-zone-franche-du-togo	1.0	1.44	1.0	2.0	1.3
convention-collective-du-commerce	1.0	1.0	1.0	2.0	1.17
convention-collective-de-l-enseignement-confessionnel-au-togo	1.0	1.44	1.0	3.0	1.61
convention-collective-de-l-industrie-du-petrole-du-togo	1.0	1.44	1.0	3.0	1.61
convention-collective-sectorielle-des-entreprises-pharmaceutiques-du-togo-	1.0	1.0	1.0	2.0	1.17
convention-collective-des-entreprises-du-batiment-et-des-travaux-publics-du-togo	1.0	1.44	1.0	2.0	1.3
convention-collective-interprofessionnelle-du-togo	1.0	1.44	1.0	2.0	1.3
convention-collective-des-compagnies-d-assurances-du-togo	1.0	1.44	1.0	2.0	1.3
convention-collective-de-l-industrie-du-petrole-du-togo-2013-	1.0	1.0	1.0	2.0	1.17
convention-collective-des-banques-des-etablissements-financiers-et-des-assurances-du-togo	1.0	1.89	1.0	1.0	1.14
benin---convention-collective-generale-du-travail	1.0	1.44	1.0	2.0	1.3
cct-applicable-au-personnel-de-l-agence-nationale-de-l-aviation-civile-	1.0	1.0	1.0	2.0	1.17
convention-collective-du-travail-applicable-au-personnel-du-centre-national-hospitalier-universitaire-hubert-koutoukou-maga-cnhu-hkm-	1.0	1.44	1.0	2.0	1.3
convention-collective-nationale-manutention-portuaire	1.0	1.89	1.0	1.0	1.14
convention-collective-du-travail-de-la-poste-du-b-nin-sa	1.0	1.44	1.0	2.0	1.3
convention-collective-du-travail-de-la-societe-beninoise-d-energie-electrique-s-b-e-e-	1.0	1.44	1.0	2.0	1.3
convention-collective-du-travail-applicable-au-personnel-de-benin-telecoms-sa	1.0	1.0	1.0	2.0	1.17
